"Gene","Log2FC","AveExpr","t","P.Value","adj.P.Val","B","Log2Transformed"
"ACOX2",0.225474043683881,-0.449249319834889,0.458373465316203,0.664320026044669,0.931176374767045,-5.42572485033759,FALSE
"ACOX3",0.4519662794614,0.195541757744102,1.11502645913271,0.280843770046437,0.790398286791284,-5.52213377664167,FALSE
"ACP1",-0.142651928614716,-0.0765961669335387,-0.663302941499372,0.516312968689818,0.88555545734369,-5.90768644563314,FALSE
"ACP2",-0.359911657410301,0.0544527124229482,-1.12061679290965,0.278524342689251,0.789629057913826,-5.51628125676763,FALSE
"ACP5",1.52077847134921,0.314522594528328,1.14651174542472,0.277106242207735,0.789629057913826,-5.21657546020205,FALSE
"ACP6",0.457086248986755,0.638348633030935,0.979110980873812,0.341687825385051,0.820184688628389,-5.65660371961029,FALSE
"ACPP",2.60797664968635,0.147860202214689,5.53527205897768,4.0718736633e-05,0.0420578418197513,2.32532413812615,FALSE
"ACSBG1",NA,NA,NA,NA,NA,NA,FALSE
"ACSF2",0.869797951994698,0.0669172601121346,2.01398305499983,0.0606432677061023,0.552845713774885,-4.30388198222322,FALSE
"ACSF3",-0.221343106374494,0.0524341789576661,-0.948950068644785,0.356362209763505,0.825389809836942,-5.68436080076421,FALSE
"ACSL1",0.633304497270596,-0.123239159282977,1.48593461261524,0.156185085233257,0.688750235179904,-5.08268099765358,FALSE
"ACSL3",0.335523268387639,0.172699171119613,1.14066825077515,0.270322242959309,0.787606429341011,-5.49508493534395,FALSE
"ACSL4",0.828752983669142,0.0506446298185789,1.76220538505259,0.0965792755031529,0.615839509787311,-4.69484436594143,FALSE
"ACSL5",0.422953568304924,-0.165588957133865,0.844712469450744,0.410373323509948,0.846339975112394,-5.77426870696269,FALSE
"ACSL6",0.569668076651861,-0.283443766811371,1.10045967338748,0.29040731059687,0.797738092199081,-5.42556365735532,FALSE
"ACSM2B",0.217828552831571,-0.319055132706128,0.260433781060883,0.80923018150549,0.969230065301252,-5.22221856612396,FALSE
"ACSM3",0.973762371297537,-0.326980060158987,1.67790034214732,0.112236596967198,0.639581652927008,-4.81810298663409,FALSE
"ACSS1",0.552712639928736,-0.511636953835369,1.13895273122116,0.271016827923593,0.78782861156522,-5.4969108704125,FALSE
"ACSS2",0.961830450586931,-0.413496888956087,2.26135012228977,0.0375901440873015,0.49161487373962,-3.89088856583931,FALSE
"ACSS3",-1.52343512230962,-0.123466095463212,-1.8189128929344,0.0883324730860093,0.609322163749144,-4.57927638574231,FALSE
"ACTA1",NA,0.40760894736032,NA,NA,NA,NA,FALSE
"ACTA2",-0.0463748938174951,0.0487023014556128,-0.208568288012326,0.837342585500252,0.975282625707184,-6.10511095434966,FALSE
"ACTB",-0.134002696937518,0.0794717381180758,-0.65378462409171,0.522273906811448,0.887052466587575,-5.91385449993502,FALSE
"ACTBL2",-0.432635228841663,0.432122487445516,-2.03428977894837,0.0606751304913932,0.552845713774885,-4.23042047488266,FALSE
"ACTG1",-0.285274078490146,-0.534886927053463,-0.82919821445651,0.418847041772713,0.848717368118755,-5.78683788095691,FALSE
"ACTL6A",-0.0371647174425113,-0.171633165681665,-0.140536209863645,0.88994061592926,0.985276935530539,-6.11709466916461,FALSE
"ACTL6B",NA,-0.0857895213457822,NA,NA,NA,NA,FALSE
"ACTL8",-0.0357975244645219,-0.900738955333442,-0.121621871286131,0.904669898269776,0.988086193158502,-6.11959888756354,FALSE
"ACTN1",-0.249702648235425,0.0949502108357817,-0.716123353044468,0.483945107827399,0.874495751051279,-5.87193231207984,FALSE
"ACTN2",-0.382083016865016,-0.125431473342533,-0.414553345775654,0.697595398534756,0.938258623075073,-5.28236808206626,FALSE
"ACTN3",1.37506034522037,0.111891408697746,1.84254730227084,0.131599237579954,0.660390985744041,-4.23179369480854,FALSE
"ACTN4",-0.119044246292762,0.309262224710582,-0.295595216025236,0.771233062247602,0.957535896512789,-6.08301987191685,FALSE
"ACTR10",-0.0996120345771582,-0.117224061740932,-0.304789593055502,0.76434378493128,0.955754817836834,-6.08024485814811,FALSE
"ACTR1A",-0.383429298526554,-0.0991241516785015,-1.17108280540569,0.25822870865274,0.777947134067776,-5.46232835100165,FALSE
"ACTR1B",-0.0318399617444883,-0.279336024815531,-0.0859418655993586,0.93254865229722,0.988680816651779,-6.12334055054477,FALSE
"ACTR2",0.138408577612855,-0.115248451465643,0.587508028960894,0.564830307340514,0.899986690796845,-5.95445079384851,FALSE
"ACTR3",0.034450240025906,-0.0795911101867495,0.181402125878537,0.858265416860523,0.979933307742618,-6.1104541489911,FALSE
"ACTR3B",0.115484645494718,-0.10849170688233,0.519563975558533,0.610279129043572,0.9113736905679,-5.99175084380902,FALSE
"ACTR5",0.0482925011304658,0.00447273239646484,0.177482824917743,0.861293386957093,0.980287356447486,-6.11116384138125,FALSE
"ACTR6",-0.363624044818371,-0.0762847900931934,-1.89870998879808,0.0752642448804475,0.590490861493169,-4.48691009818602,FALSE
"ACTR8",0.0197675958775047,-0.0259890899611027,0.0999191841520067,0.921614526177589,0.988680816651779,-6.12202784650895,FALSE
"ACVR1",0.591237249034217,0.168318640619214,1.44442739884507,0.169920585987891,0.703906842872326,-5.07607661142758,FALSE
"ACVR1B",0.282165924262568,-0.173815723772431,0.540043048405506,0.60163245731117,0.909876247168128,-5.66087554705727,FALSE
"ACVR2A",-0.884076208741476,-0.232211246637877,-1.33694219776185,0.245211501427101,0.772046216830342,-4.66886591174694,FALSE
"ACY1",0.140832083687914,-0.508410362807033,0.551067667370128,0.58898475206303,0.906000308970671,-5.97500350500204,FALSE
"ACY3",NA,0.085194620305485,NA,NA,NA,NA,FALSE
"ACYP1",0.0845773089092388,-0.52180456074084,0.274455282945358,0.787147179079248,0.96153257045172,-6.08908124964421,FALSE
"ACYP2",-0.181269111581959,-0.279463341028085,-0.651977582089039,0.523409938525581,0.887052466587575,-5.91501596517603,FALSE
"ADA",0.00999625678985476,0.0203057547727978,0.020899120599016,0.983577206385366,0.997395494485399,-6.12685310460335,FALSE
"ADA2",0.926752059486569,-0.116242631892755,1.91173820932378,0.0902456195551956,0.609322163749144,-4.21093336481822,FALSE
"ADAL",-0.397266795546865,-0.399543314723495,-0.772660074380656,0.455348661891356,0.86158153538831,-5.62554407434776,FALSE
"ADAM10",-0.0408829141255447,0.0642742211072483,-0.161805829381513,0.87342693750508,0.981275170378555,-6.11384814170348,FALSE
"ADAM12",NA,NA,NA,NA,NA,NA,FALSE
"ADAM15",0.642648581662122,0.253999598990195,1.37258176888947,0.188284029824134,0.723768850134867,-5.22756428095621,FALSE
"ADAM17",0.177401547002581,0.278976841927176,0.823596069421465,0.421934351953973,0.849105595827317,-5.791324135991,FALSE
"ADAM18",0.177401547002581,0.278976841927176,0.823596069421465,0.421934351953973,0.849105595827317,-5.791324135991,FALSE
"ADAM19",NA,-0.982351886273587,NA,NA,NA,NA,FALSE
"ADAM22",NA,NA,NA,NA,NA,NA,FALSE
"ADAM28",0.893275237243701,0.574338810184294,0.489128570203177,0.643731980088431,0.924638158320999,-5.41181927180986,FALSE
"ADAM8",1.10308671079129,0.079456506053365,0.97096561911265,0.372506713457516,0.83150262032003,-5.09918060784953,FALSE
"ADAM9",0.368615952946627,0.462964262424111,1.26303924920172,0.224162050402642,0.755105972259261,-5.35894430360817,FALSE
"ADAMTS1",0.513777741130308,-1.1641215936171,1.56414771482901,0.144934308484405,0.673125726900935,-4.80693438565869,FALSE
"ADAMTS12",0.450730723103713,-0.13584014918505,1.11339808966213,0.29044178703738,0.797738092199081,-5.15026672055155,FALSE
"ADAMTS15",1.46609239528783,-0.622849852378813,1.75284635979126,0.16531043755297,0.698605901400966,-4.31204417552732,FALSE
