"Gene","Log2FC"
"ASPHD1",NA
"ASPHD2",2.66095389294006
"ASPM",0.0313147182133388
"ASPSCR1",-0.483115011610962
"ASRGL1",0.048674798341423
"ASS1",0.0699565829105552
"ASTE1",-0.132006870988625
"ASXL1",-0.00213107997142193
"ASXL2",0.208613354511084
"ASXL3",-0.682339491191717
"ATAD1",-0.43481585528402
"ATAD2",0.487768542479046
"ATAD2B",0.212845611060943
"ATAD3A",-0.502404200815851
"ATAD3B",-0.435727038796609
"ATAD3C",-0.610735817571824
"ATAD5",0.554018374535892
"ATAT1",0.453606571731388
"ATE1",-0.652475355524151
"ATF1",-0.0287298402551787
"ATF2",-0.0287298402551787
"ATF3",-1.26082471853889
"ATF4",-1.2826722430793
"ATF5",NA
"ATF6",-0.0103812942362326
"ATF6B",0.0871300149376626
"ATF7",0.0482726569346001
"ATF7IP",-0.907448709575538
"ATF7IP2",NA
"ATG10",NA
"ATG101",0.138489502424793
"ATG12",-0.128689314193855
"ATG13",0.183693332689848
"ATG14",0.737310005214883
"ATG16L1",-0.0026819471865105
"ATG2A",0.350660977388227
"ATG2B",0.0240319426306039
"ATG3",-0.30237482360945
"ATG4A",0.448652295954996
"ATG4B",-0.196812223441035
"ATG4C",0.141837626269554
"ATG4D",NA
"ATG5",-0.247488104241762
"ATG7",-0.307321556094114
"ATG9A",-0.172097427970512
"ATG9B",-0.04364126635861
"ATIC",-0.289580555628786
"ATL1",0.07531133667145
"ATL2",0.437023751784749
"ATL3",0.316440107366363
"ATM",-0.431907102509489
"ATMIN",0.798648833360508
"ATN1",0.00788275273494998
"ATOH1",NA
"ATOX1",-0.301575481553961
"ATP10A",1.73456372532518
"ATP10B",0.663217704079284
"ATP10D",NA
"ATP11A",0.0599938375348768
"ATP11B",0.334574070165738
"ATP11C",-0.22233248519864
"ATP12A",0.231403508380328
"ATP13A1",0.522718938105615
"ATP13A2",0.198869505480111
"ATP13A3",-0.180800499285396
"ATP1A1",0.21008523279417
"ATP1A2",1.1614043085102
"ATP1A3",0.234345731399455
"ATP1A4",0.212198748662818
"ATP1B1",0.160934722108848
"ATP1B3",0.0386260364220001
"ATP23",0.36291206270866
"ATP2A1",0.361620765096452
"ATP2A2",0.2003928428039
"ATP2A3",0.889938095615887
"ATP2B1",0.18899345771253
"ATP2B2",0.42673907433125
"ATP2B3",NA
"ATP2B4",0.42673907433125
"ATP2C1",0.237788217335628
"ATP2C2",1.37387606624172
"ATP5F1A",-0.44429091618021
"ATP5F1B",-0.541427969218636
"ATP5F1C",-0.482841490076988
"ATP5F1D",-0.35524251631018
"ATP5F1E",-0.402738029167712
"ATP5IF1",0.0907150569426632
"ATP5MC2",-0.603560804412786
"ATP5MD",-0.627914538365035
"ATP5ME",-0.60300928917856
"ATP5MG",-0.465320868124649
"ATP5MPL",-0.273199466004404
"ATP5PB",-0.555224790080069
"ATP5PD",-0.581068376148785
"ATP5PF",-0.358819695607618
"ATP5PO",-0.407733978927907
"ATP5S",-0.208272281400106
