"Metabolite","Log2FC","AveExpr","t","P.Value","adj.P.Val","B","Log2Transformed"
"beta.alanine",-0.0878314624999978,6.145741685,-0.49720002238707,0.623826870044512,0.868205045642314,-5.83661775826569,FALSE
"betaine",-0.0747323833333304,5.807496345,-0.852826808017903,0.402659334119757,0.795681913792805,-5.60769212639161,FALSE
"butyrobetaine",-0.217442329166664,5.91459829,-1.84236506067303,0.0785152124075286,0.600563264226451,-4.4209778132649,FALSE
"butyrylcarnitine.isobutyrylcarnitine",-0.185442416666666,5.812360425,-1.46310036455492,0.157141699580094,0.722065706826601,-4.96178838681501,FALSE
"C14.0.CE",-0.201016083333331,5.92994835,-1.59343502137299,0.12488502663632,0.672057543268584,-4.78682040545313,FALSE
"C14.0.LPC",0.193495700000001,5.790125895,1.99031276789446,0.0587243387754808,0.579393747912754,-4.18545870776919,FALSE
"C14.0.SM",0.0318908250000014,5.94583132,0.371803197573404,0.713485523848759,0.89915940885139,-5.88928834781057,FALSE
"C16.0.CE",-0.0860768249999975,5.81150863,-0.789439964133137,0.438018867175834,0.795681913792805,-5.65690103060004,FALSE
"C16.0.LPC",-0.0582082916666637,5.765977825,-0.481469032845898,0.634789467247551,0.868205045642314,-5.84404292788517,FALSE
"C16.0.LPE",-0.106834108333332,5.89714681,-0.784026897856367,0.441124584174283,0.795681913792805,-5.66093765613028,FALSE
"C16.0.SM",0.0383061291666698,5.93438104,0.380849899469298,0.706853541483186,0.89915940885139,-5.88598937898916,FALSE
"C16.1.CE",-0.213105058333332,5.814046865,-1.78010026997411,0.0884431581165426,0.625952433803986,-4.51619404661859,FALSE
"C16.1.LPC",0.0121953375000006,5.83438629,0.106345658219455,0.91624180152931,0.979883583871828,-5.95097752103231,FALSE
"C16.1.SM",-0.0237581416666659,5.90361299,-0.294072518784895,0.771373129915516,0.910438675461403,-5.91439983892006,FALSE
"C18.0.CE",-0.112483837499997,5.91126371,-0.937524943236695,0.358351505737389,0.767896083722976,-5.53642557421222,FALSE
"C18.0.LPC",-0.0505661749999966,5.76672527,-0.392298055631052,0.6984950710802,0.898354456004385,-5.88170258471612,FALSE
"C18.0.LPE",-0.0796807458333308,5.95196424,-0.495228485748968,0.625196000128243,0.868205045642314,-5.83756113028515,FALSE
"C18.0.SM",-0.138665979166664,5.84372165,-0.953504345456432,0.350372795735367,0.767896083722976,-5.52228259763382,FALSE
"C18.1.CE",-0.256277508333332,5.879012845,-2.19491614936379,0.038663803079901,0.573847101529237,-3.83981490399905,FALSE
"C18.1.LPC",-0.0934620666666648,5.807508535,-0.888565955138309,0.383550339233264,0.780488194251245,-5.57838349997529,FALSE
"C18.1.LPE",-0.0887394791666658,5.895215425,-0.817830747504827,0.421950827064863,0.795681913792805,-5.6353013932181,FALSE
"C18.1.SM",0.0525063541666686,5.914667,0.543184113612008,0.592294471194194,0.868205045642314,-5.81357797300278,FALSE
"C18.2.CE",-0.151707658333332,5.80687013,-1.08818630236384,0.287925374140277,0.767896083722976,-5.39446309322373,FALSE
"C18.2.LPC",0.0923146625000024,5.786839085,0.991790018499653,0.331748934976927,0.767896083722976,-5.48750685223772,FALSE
"C18.2.SM",-0.0858089833333313,5.821912885,-0.792240706077238,0.436417237550096,0.795681913792805,-5.65480218341383,FALSE
"C18.3.CE",-0.149956962499997,5.87527781,-1.16574207244533,0.255814896235849,0.767896083722976,-5.3140223715397,FALSE
"C20.3.CE",-0.190236112499997,5.925231695,-1.56793256523431,0.13072434031568,0.684022710954142,-4.82199047355408,FALSE
"C20.3.LPC",-0.0293843999999979,5.760215535,-0.249479300237822,0.805232428519196,0.910438675461403,-5.92618044932321,FALSE
"C20.4.CE",-0.0871173249999986,5.81792268,-0.670172900796021,0.5095046353068,0.849174392178001,-5.73971914478355,FALSE
"C20.4.LPC",0.0415406208333344,5.795453335,0.391989108341277,0.698720132447855,0.898354456004385,-5.8818199141065,FALSE
"C20.4.LPE",-0.00236039999999882,5.762204685,-0.0306219579208921,0.97583852152481,0.986327843853534,-5.95603455449337,FALSE
"C20.5.CE",-0.166296941666665,5.860201735,-1.37100654835145,0.183768855090831,0.722065706826601,-5.07806035912198,FALSE
"C22.0.SM",0.0457310333333361,5.93286852,0.6066325530488,0.55011086690204,0.868205045642314,-5.77854223000637,FALSE
"C22.1.SM",-0.0517156083333328,5.85071666,-0.722031064656821,0.477643744919229,0.826691096975588,-5.7052919303537,FALSE
"C22.6.CE",-0.226050570833332,5.905899545,-1.28391865845837,0.21211390400446,0.745712943765681,-5.18216972991064,FALSE
"C22.6.LPC",-0.0172023291666656,5.840777815,-0.199087082796665,0.843966065357762,0.935430368007372,-5.93717871555655,FALSE
"C22.6.LPE",0.136793895833336,5.827616775,0.998085969207453,0.328752828147249,0.767896083722976,-5.4816685106475,FALSE
"C24.0.SM",-0.128569124999997,5.9154534,-1.0763343635891,0.293078037551268,0.767896083722976,-5.40632118954322,FALSE
"C24.1.SM",-0.0921815749999979,5.922781305,-0.815613683622169,0.423192180946347,0.795681913792805,-5.63701395320188,FALSE
"C32.0.PC",0.0554869708333348,5.870849595,0.445291808319014,0.660323989000476,0.874573158921392,-5.86023160132089,FALSE
"C32.1.PC",0.0371743500000026,5.917410985,0.577682973301577,0.569161365399497,0.868205045642314,-5.79499286600365,FALSE
"C32.2.PC",-0.071951416666665,5.9983532,-0.648671069160211,0.523056007162803,0.858413693648552,-5.75327277917804,FALSE
"C34.1.DAG",-0.0341589208333319,5.94887256,-0.225422110910955,0.823666849451228,0.922015129982718,-5.93173781155906,FALSE
"C34.1.PC",0.0376362250000026,5.874479785,0.541781104359668,0.593244929871706,0.868205045642314,-5.81431026928694,FALSE
"C34.2.DAG",0.199680829166669,5.74708221,1.11340025542168,0.277181249114326,0.767896083722976,-5.36885055486482,FALSE
"C34.2.PC",0.0245784041666663,5.916001855,0.330228340401187,0.744254041614645,0.90446013602804,-5.90344124208726,FALSE
"C34.3.PC",-0.0580227166666658,5.916609895,-0.637288644510798,0.530308904076217,0.858413693648552,-5.76027570423228,FALSE
"C34.4.PC",0.0265971958333351,5.853448705,0.257159023492277,0.799371337118624,0.910438675461403,-5.92428850519831,FALSE
"C36.1.DAG",0.0146541041666675,5.893707725,0.123654188739889,0.902676835797913,0.978848546380791,-5.9490371371073,FALSE
"C36.1.PC",0.0190916333333373,5.869656105,0.229949483197061,0.820189343093466,0.922015129982718,-5.93073474979404,FALSE
"C36.2.DAG",0.148854970833336,6.027070145,1.11943979599293,0.274651490452967,0.767896083722976,-5.36263802783332,FALSE
"C36.2.PC",0.0188580125000026,5.91476937,0.266108941463758,0.792556056554183,0.910438675461403,-5.92201172668426,FALSE
"C36.3.PC",-0.0718277958333315,5.823325835,-0.886257568560184,0.384766421653539,0.780488194251245,-5.58031033272684,FALSE
"C36.4.PC.A",-0.103299541666663,5.79520215,-1.02445867606213,0.31640649663382,0.767896083722976,-5.45684798791046,FALSE
"C36.4.PC.B",-0.0665448749999964,5.750636525,-0.84425870172522,0.407329634048421,0.795681913792805,-5.61455177477771,FALSE
"C38.2.PC",-0.012767795833331,5.95722641,-0.139001836322123,0.890673821830659,0.972823349086885,-5.94707265747965,FALSE
"C38.4.PC",0.0251847791666684,5.803050255,0.333009305826777,0.742181583534707,0.90446013602804,-5.90254628996264,FALSE
"C38.5.PC",-0.0858348458333316,5.753135505,-0.974492229248202,0.340077278111109,0.767896083722976,-5.50337383756659,FALSE
"C38.6.PC",-0.115984387499998,5.709081555,-1.17171676176471,0.253455696335022,0.767896083722976,-5.30762273691525,FALSE
"C40.6.PC",0.0689353333333358,5.77599035,0.821745650079058,0.419764408170693,0.795681913792805,-5.6322666894418,FALSE
"C46.0.TAG",0.0534822125000014,5.995732915,0.392674086645488,0.698221178846995,0.898354456004385,-5.88155965590324,FALSE
"C46.1.TAG",0.120444508333335,6.016645955,0.754810136734906,0.458118570684729,0.809811020504429,-5.6822717336541,FALSE
"C46.2.TAG",0.168058041666668,6.049959175,1.01656506296523,0.320067388481972,0.767896083722976,-5.46433861278518,FALSE
"C48.0.TAG",-0.0120636916666639,6.059505385,-0.0712785776668339,0.943799956286295,0.986327843853534,-5.95401424790835,FALSE
"C48.1.TAG",0.0866925250000019,6.05156524,0.556253688676444,0.583476604508969,0.868205045642314,-5.80666789903232,FALSE
"C48.2.TAG",0.247110458333335,6.07437645,1.62550485126062,0.117851615200123,0.672057543268584,-4.74196335429872,FALSE
"C48.3.TAG",0.121198904166668,6.12921568,0.637655587476549,0.530074239748657,0.858413693648552,-5.76005180684572,FALSE
"C50.0.TAG",-0.090532370833329,6.043995865,-0.503313834044,0.619589971454588,0.868205045642314,-5.83366904424816,FALSE
"C50.1.TAG",-0.0312308249999997,6.03111598,-0.209938777780488,0.835587234565112,0.930728355332426,-5.93501815188874,FALSE
"C50.2.TAG",0.14392116666667,6.0500923,1.01707519519748,0.31982990996739,0.767896083722976,-5.46385611170848,FALSE
"C50.3.TAG",0.260920037500002,6.044270485,1.71033349420743,0.100831348107341,0.667266274239756,-4.61999967674203,FALSE
"C52.1.TAG",0.0282836291666682,5.99410139,0.176220581753869,0.861682427942684,0.950385030819137,-5.94135738795193,FALSE
"C52.2.TAG",0.0721745083333349,6.01270458,0.497904353457354,0.623338084260636,0.868205045642314,-5.83627985095428,FALSE
"C52.3.TAG",0.211299400000001,5.96192374,1.41764342907796,0.169868390288738,0.722065706826601,-5.01995957030787,FALSE
"C52.4.TAG",0.291782162500001,5.91556076,1.9197881021108,0.0675314611493928,0.579393747912754,-4.29931570129872,FALSE
